# heliumInput = PHENOTYPE									
germplasm_name	germplasm_id	germplasm_gid	country_name	country_code	has_trials_data	has_genotypic_data	Project	Year	Range
Aapo	1	Aapo	Finland	FI	1	1	BARN	1975	1970-1979
Abacus	2	Abacus	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1974	1970-1979
Abava	3	Abava	Latvia	LV	1	1	BARN	1978	1970-1979
Acoustic	4	Acoustic	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2011	2010-2017
Alabama	5	Alabama	Germany	DE	1	1	BARN	1998	1990-1999
Alexis	6	Alexis	Germany	DE	1	1	BARN	1986	1980-1989
Alliot	7	Alliot	Denmark	DK	1	1	BARN	1998	1990-1999
Aluminium	8	Aluminium	Denmark	DK	1	1	BARN	2003	2000-2009
Alva	9	Alva	Sweden	SE	1	1	BARN	1977	1970-1979
Anais	10	Anais	Germany	DE	1	1	BARN	1999	1990-1999
Annabell	11	Annabell	Germany	DE	1	1	BARN	1997	1990-1999
Apex	12	Apex	Netherlands	NL	1	1	BARN	1983	1980-1989
Appaloosa	13	Appaloosa	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2003	2000-2009
Aramir	14	Aramir	Netherlands	NL	1		BARN	1972	1970-1979
Armelle	15	Armelle	France	FR	1	1	BARN	1974	1970-1979
Arvo	16	Arvo	Finland	FI	1	1	BARN	1966	1960-1969
Athos	17	Athos	France	FR	1	1	BARN	1975	1970-1979
Atlas	18	Atlas	Czech Republic	CZ	1	1	BARN	1976	1970-1979
Avalon	19	Avalon	Germany	DE	1	1	BARN	2011	2010-2017
Avec	20	Avec	Sweden	SE	1	1	BARN	1995	1990-1999
Balder	21	Balder	Sweden	SE	1	1	BARN	1942	1830-1959
Balder J	22	Balder J	Sweden	SE	1		BARN	1964	1960-1969
Balga	23	Balga	Latvia	LV	1	1	BARN	1990	1990-1999
Barke	24	Barke	Germany	DE	1	1	BARN	1996	1990-1999
Baronesse	25	Baronesse	Germany	DE	1	1	BARN	1989	1980-1989
Beatrix	26	Beatrix	Germany	DE	1	1	BARN	2003	2000-2009
Beka	27	Beka	France	FR	1	1	BARN	1954	1830-1959
Berac	28	Berac	Netherlands	NL	1	1	BARN	1969	1960-1969
Berenice	29	Berenice	France	FR	1	1	BARN	1972	1970-1979
Berwick	30	Berwick	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1997	1990-1999
Betzes	31	Betzes	Germany	DE	1	1	BARN	1957	1830-1959
Binder	32	Binder	Denmark	DK	1	1	BARN	1913	1830-1959
Binder Abed	33	Binder Abed	Denmark	DK	1	1	BARN	1913	1830-1959
Birgitta	34	Birgitta	Sweden	SE	1	1	BARN	1963	1960-1969
Blenheim	35	Blenheim	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1984	1980-1989
Bogart	36	Bogart	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2009	2000-2009
Bonus	37	Bonus	Sweden	SE	1	1	BARN	1950	1830-1959
Braemar	38	Braemar	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1999	1990-1999
Brazil	39	Brazil	France	FR	1	1	BARN	2000	2000-2009
Britta	40	Britta	Sweden	SE	1	1	BARN	1964	1960-1969
Camargue	41	Camargue	Germany	DE	1	1	BARN	1983	1980-1989
Campala	42	Campala	France	FR	1	1	BARN	2000	2000-2009
Carlsberg	43	Carlsberg	Denmark	DK	1	1	BARN	1946	1830-1959
Cellar	44	Cellar	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1998	1990-1999
Centurion	45	Centurion	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1996	1990-1999
Century	46	Century	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1996	1990-1999
Chad	47	Chad	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1988	1980-1989
Chalice	48	Chalice	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1995	1990-1999
Chariot	49	Chariot	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1989	1980-1989
Chaser	50	Chaser	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1997	1990-1999
Chevalier Tystofte 2	51	Chevalier Tystofte 2	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1830	1830-1959
Chieftain	52	Chieftain	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1993	1990-1999
Chime	53	Chime	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1997	1990-1999
Cilla	54	Cilla	Sweden	SE	1	1	BARN	1966	1960-1969
Claret	55	Claret	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1980	1980-1989
Class	56	Class	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2000	2000-2009
Cocktail	57	Cocktail	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2003	2000-2009
Colada	58	Colada	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1997	1990-1999
Concerto	59	Concerto	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2006	2000-2009
Cooper	60	Cooper	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1991	1990-1999
Cork	61	Cork	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1992	1990-1999
Corniche	62	Corniche	Germany	DE	1	1	BARN	1983	1980-1989
