#input=PHENOTYPE					
Accession name	Breeding History	Year of release=q	Country of origin	Row type	Included in core collection
Chevalier Tystofte 2	Landrace		UK	2-row	Yes
Irish Archer	Landrace		Ireland	2-row	Yes
Old Irish JHI	Landrace		Ireland	2-row	Yes
Spratt	Landrace		UK	2-row	Yes
Beavans 35	Landrace		UK	2-row	No
Beavans Archer	Landrace		UK	2-row	Yes
Bjorneby	Landrace		Norway	6-row	No
Burtons Malting	Landrace		UK	2-row	No
Cornish	Landrace		UK	2-row	Yes
Crocket	Landrace		Sweden 	6-row	No
Erhardt Frederiksens	Landrace		Sweden 	6-row	No
Golden Drop	Landrace		UK	2-row	No
Golden Melon	Landrace		UK	2-row	No
Golden Pheasant	Landrace		UK	2-row	No
HOR 10555	Landrace		Italy	2-row	Yes
HOR 11123	Landrace		Italy	2-row	No
HOR 1943	Landrace		Greece	2-row	Yes
HOR 4017	Landrace		Yugoslavia	2-row	Yes
HOR 753	Landrace		Greece	2-row	Yes
HOR 7537	Landrace		Poland	2-row	No
HOR 9450	Landrace		Romania	2-row	No
HOR 7531	Landrace		Poland	2-row	Yes
KÄÄs	Landrace		Sweden 	2-row	Yes
Kr Fiinset	Landrace		Norway	6-row	No
Spratt Archer DAFM	Old cultivar	1919	Ireland	2-row	Yes
Long Eared Nottingham	Landrace		UK	2-row	Yes
Mjos	Landrace		Norway	6-row	No
Morayshire Gold	Landrace		UK	2-row	Yes
Northumberland Rogue	Landrace		UK	2-row	No
Old Irish DAFM	Landrace		Ireland	2-row	Yes
Old Cornish	Landrace		UK	6-row	No
Old Wiltshire Archer	Landrace		UK	2-row	Yes
Opdal	Landrace		Norway	6-row	No
Padstow	Landrace		UK	2-row	Yes
Pembroke	Landrace		UK	2-row	Yes
Prize Prolific	Landrace		UK	2-row	Yes
Refsum	Landrace		Norway	2-row	Yes
Scottish Annat	Landrace		UK	2-row	No
Skaneslet	Landrace		Norway	6-row	No
Solenby	Landrace		UK	6-row	No
St Davids	Landrace		UK	2-row	Yes
Swanneck	Landrace		UK	2-row	No
Trysil	Landrace		Norway	6-row	No
Tystofte Korsby	Landrace		Denmark 	6-row	No
Uforaedlet Jamtland	Landrace		Denmark 	6-row	No
Prentice Abed	Old cultivar	1881	Denmark 	2-row	Yes
Chevalier Tystofte	Landrace		UK	2-row	No
Irish Goldthorpe	Old cultivar	1890	Ireland	2-row	Yes
Hannchen	Old cultivar	1902	Sweden 	2-row	No
Goldthorpe	Old cultivar	1896	UK	2-row	No
Prinsess	Old cultivar	1897	Sweden 	2-row	No
Chevalier II	Old cultivar	1900	Sweden 	2-row	No
Irish Goldthorpe DAFM	Old cultivar	1890	Ireland	2-row	Yes
Irish Archer DAFM	Landrace		Ireland	2-row	Yes
Gull	Old cultivar	1915	Sweden 	2-row	Yes
Binder	Old cultivar	1916	Denmark 	2-row	Yes
Binder Abed	Old cultivar	1916	Denmark 	2-row	No
Spratt Archer	Old cultivar	1919	Ireland	2-row	Yes
Opal Abed	Old cultivar	1922	Denmark 	2-row	No
PiikkiÖnohra	Old cultivar	1922	Finland	2-row	Yes
Urajste 	Old cultivar	1922	Finland	2-row	Yes
Halikko	Old cultivar	1923	Finland	2-row	Yes
Isaria	Old cultivar	1924	Germany	2-row	No
Brage	Old cultivar	1925	Sweden 	2-row	Yes
Seger	Old cultivar	1926	Sweden 	2-row	Yes
Maja	Old cultivar	1927	Denmark 	2-row	No
Kenia WB	Old cultivar	1931	Denmark 	2-row	Yes
Opal B	Old cultivar	1934	Sweden 	2-row	Yes
Haisa II	Old cultivar	1939	Germany	2-row	Yes
Freja	Old cultivar	1941	Sweden 	2-row	Yes
Balder	Old cultivar	1942	Sweden 	2-row	No
Helmi	Old cultivar	1942	Finland	2-row	Yes
Vankkuri	Old cultivar	1943	Finland	2-row	Yes
Craigs Triumph	Old cultivar	1944	UK	2-row	No
Tyra	 Elite cultivar	1975	Denmark 	2-row	Yes
Glasnevin no 5	Old cultivar	1946	Ireland	2-row	Yes
Carlsberg	Old cultivar	1947	Denmark 	2-row	Yes
Lenta	Old cultivar	1947	Denmark 	2-row	Yes
Valticky	Old cultivar	1950	Czech Republic 	2-row	No
Bonus NGB 	Old cultivar	1952	Sweden 	2-row	No
Rika	Old cultivar	1951	Sweden 	2-row	No
Wisa	Old cultivar	1951	Germany	2-row	Yes
Bonus	Old cultivar	1952	Sweden 	2-row	No
Domen	Old cultivar	1952	Norway	2-row	Yes
Beorna	Old cultivar		Ireland	2-row	Yes
Proctor	Old cultivar	1953	UK	2-row	No
Beka	Old cultivar	1954	France	2-row	Yes
Drost	Old cultivar	1954	Denmark 	2-row	Yes
Union	Old cultivar	1955	Germany	2-row	No
Ingrid	Old cultivar	1956	Sweden 	2-row	No
Betzes	Old cultivar	1957		2-row	No
Volla	Old cultivar	1957	Germany	2-row	No
Vada	Old cultivar	1958	Netherlands 	2-row	Yes
Delta	Old cultivar	1959	Netherlands 	2-row	Yes
Hunter	Old cultivar	1959	Ireland	2-row	Yes
Hunter DAFM	Old cultivar	1959	Ireland	2-row	Yes
Mari	Old cultivar	1960	Sweden 	2-row	No
Emir	 Elite cultivar	1962	Netherlands 	2-row	Yes
Birgitta	 Elite cultivar	1963	Sweden 	2-row	No
Balder J	 Elite cultivar	1964	Finland	2-row	No
Britta	 Elite cultivar	1964	Sweden 	2-row	Yes
Impala	 Elite cultivar	1964	Netherlands 	2-row	Yes
Deba Abed	 Elite cultivar	1965	Denmark 	2-row	Yes
Diamant	 Elite cultivar	1965	Czech Republic 	2-row	No
Arvo	 Elite cultivar	1966	Finland	2-row	Yes
Zephyr	 Elite cultivar	1966	Netherlands 	2-row	Yes
Karri	 Elite cultivar	1967	Finland	2-row	No
Cilla	 Elite cultivar	1968	Sweden 	2-row	Yes
Drake	 Elite cultivar	1968	Netherlands 	2-row	Yes
Golden Promise	 Elite cultivar	1968	UK	2-row	Yes
Kristina	 Elite cultivar	1968	Sweden 	2-row	No
Sultan	 Elite cultivar	1968	Netherlands 	2-row	Yes
Villa	 Elite cultivar	1968	Germany	2-row	Yes
Wing	 Elite cultivar	1968	Sweden 	2-row	No
Berac	 Elite cultivar	1969	Netherlands 	2-row	Yes
Gerkra	 Elite cultivar	1970	Netherlands 	2-row	Yes
Tardus	 Elite cultivar	1993	Sweden 	2-row	Yes
